ICD-10-CM Diagnosis Code & Name	Uniqe Patient Count
A01.00 Typhoid fever, unspecified	2
A02.0 Salmonella enteritis	47
A02.1 Salmonella sepsis	7
A02.24 Salmonella osteomyelitis	2
A02.29 Salmonella with other localized infection	1
A02.8 Other specified salmonella infections	8
A02.9 Salmonella infection, unspecified	45
A03.0 Shigellosis due to Shigella dysenteriae	3
A03.3 Shigellosis due to Shigella sonnei	3
A03.8 Other shigellosis	1
A03.9 Shigellosis, unspecified	29
A04.0 Enteropathogenic Escherichia coli infection	19
A04.1 Enterotoxigenic Escherichia coli infection	5
A04.2 Enteroinvasive Escherichia coli infection	6
A04.3 Enterohemorrhagic Escherichia coli infection	3
A04.4 Other intestinal Escherichia coli infections	49
A04.5 Campylobacter enteritis	77
A04.6 Enteritis due to Yersinia enterocolitica	2
A04.7 Enterocolitis due to Clostridium difficile	1,469
A04.8 Other specified bacterial intestinal infections	550
A04.9 Bacterial intestinal infection, unspecified	31
A05.1 Botulism food poisoning	2
A05.8 Other specified bacterial foodborne intoxications	9
A05.9 Bacterial foodborne intoxication, unspecified	27
A06.0 Acute amebic dysentery	5
A06.1 Chronic intestinal amebiasis	2
A06.7 Cutaneous amebiasis	1
A06.9 Amebiasis, unspecified	6
A07.0 Balantidiasis	11
A07.1 Giardiasis [lambliasis]	47
A07.2 Cryptosporidiosis	32
A07.3 Isosporiasis	1
A07.4 Cyclosporiasis	2
A07.8 Other specified protozoal intestinal diseases	10
A08.0 Rotaviral enteritis	117
A08.11 Acute gastroenteropathy due to Norwalk agent	153
A08.19 Acute gastroenteropathy due to other small round viruses	19
A08.2 Adenoviral enteritis	6
A08.31 Calicivirus enteritis	1
A08.32 Astrovirus enteritis	7
A08.39 Other viral enteritis	85
A08.4 Viral intestinal infection, unspecified	4,545
A08.8 Other specified intestinal infections	12
A09 Infectious gastroenteritis and colitis, unspecified	3,024
A15.0 Tuberculosis of lung	62
A15.4 Tuberculosis of intrathoracic lymph nodes	1
A15.5 Tuberculosis of larynx, trachea and bronchus	3
A15.6 Tuberculous pleurisy	2
A15.7 Primary respiratory tuberculosis	4
A15.9 Respiratory tuberculosis unspecified	95
A17.9 Tuberculosis of nervous system, unspecified	1
A18.01 Tuberculosis of spine	16
A18.02 Tuberculous arthritis of other joints	3
A18.03 Tuberculosis of other bones	1
A18.13 Tuberculosis of other urinary organs	1
A18.2 Tuberculous peripheral lymphadenopathy	7
A18.31 Tuberculous peritonitis	1
A18.39 Retroperitoneal tuberculosis	1
A18.4 Tuberculosis of skin and subcutaneous tissue	10
A18.52 Tuberculous keratitis	1
A18.7 Tuberculosis of adrenal glands	1
A18.84 Tuberculosis of heart	1
A18.89 Tuberculosis of other sites	4
A19.0 Acute miliary tuberculosis of a single specified site	1
A19.2 Acute miliary tuberculosis, unspecified	2
A19.9 Miliary tuberculosis, unspecified	5
A21.0 Ulceroglandular tularemia	1
A21.1 Oculoglandular tularemia	1
A21.2 Pulmonary tularemia	3
A21.8 Other forms of tularemia	1
A21.9 Tularemia, unspecified	9
A22.7 Anthrax sepsis	1
